,atom,G1a,G1b,G1c,G2a,G2b,force
7779,99,0.8349777772999621,0.16354528990211714,0.3532217306612437,0.06931,0.189885,2.7477184809476025
7780,100,0.7014524408169323,0.38967321309977376,0.19927244662299806,0.065975,0.191214,3.7717942760475416
7781,101,0.8558266399953287,0.23697307526673755,0.2346372537186825,0.059123,0.166961,2.9119283947336343
7782,102,0.6379205959599408,0.43896506962273335,0.17839170466551724,0.062972,0.171847,3.1614289083458766
7783,103,0.6486004133365323,0.4624488464476813,0.21226637938257872,0.061376,0.177584,2.4697332458385053
7784,104,0.6054490580064594,0.55057937173805,0.4497722534479344,0.064167,0.214572,2.2457940968241057
7785,105,0.4149379899676528,0.4551231284526304,0.35033842199350096,0.087983,0.258624,6.783642667026322
7786,106,0.395046637380604,0.5643448270949999,0.31410464841977737,0.081339,0.251033,5.797301116097041
7787,107,0.6872418827756328,0.30140625916615993,0.2350534981711541,0.08784199999999999,0.253366,1.5744843232905843
7788,108,0.5912629071931113,0.6479853357241216,0.23119173111881386,0.06414199999999999,0.206507,2.8344712601866333
7789,109,0.9656210686435234,0.4377155916890267,0.13407352791189905,0.079707,0.241069,2.5071507767909047
7790,110,0.6219051796023459,0.6027926736055167,0.21616942847160092,0.10491,0.33707,4.813756979674401
7791,111,0.6399058035604329,0.4626275099366207,0.2277519441226257,0.07659099999999999,0.230843,1.6837622527842226
7792,112,0.5199580401655249,0.4830280562802045,0.3767962155966655,0.098754,0.312112,1.7998359827584292
7793,113,0.7546351764547511,0.5564446978565715,0.17544681592944295,0.076655,0.23216,3.2137156106172493
7794,114,0.6553315204778977,0.4185069117498793,0.14856777932648502,0.10101,0.287717,5.460560152727556
7795,115,0.3150256732217549,0.5323577588286375,0.18184726073216145,0.053281,0.15058,4.241975386214422
7796,116,0.5602708186097696,0.4543793145686914,0.3914535642830037,0.079551,0.239392,5.359617592679912
7797,117,0.739032430569572,0.5032707926410399,0.2453574754639877,0.07110599999999999,0.218326,2.034321039256587
7798,118,0.6597329120152219,0.43110756370568815,0.19359715415766174,0.091528,0.25705300000000003,5.776354395217108
7799,119,0.7900866818825811,0.5597567653376964,0.1297833644777075,0.060046,0.182134,2.5072877044074224
7800,120,0.925144371002948,0.4271167878475926,0.07558624410603187,0.120113,0.342716,4.048131326943458
7801,121,0.3482400840035764,0.6911918876087261,0.23558749765563824,0.050762,0.17155,3.069849439634621
7802,122,0.6484342323543458,0.5472925755403918,0.3882088498215699,0.052456,0.166438,1.8539051097885242
7803,123,0.4711598560533826,0.5900671342271594,0.36194030155533385,0.06059,0.195975,2.757924948394356
7804,124,0.5603037719916639,0.7291796556170984,0.20284802923087766,0.086298,0.282741,4.049825247032271
7805,125,0.3052029841376615,0.5470002426474092,0.18174841004894549,0.058747,0.17086500000000002,5.415583405599069
7806,126,0.7824546603981966,0.4151420751357669,0.12040676569813305,0.056046000000000006,0.149313,2.6536357929640606
7807,127,0.6602890845530858,0.8200292533288095,0.13557875578186612,0.066594,0.207758,2.069152170204985
7808,0,0.7372201140862624,0.4288038550002582,0.3442897337902907,0.05223,0.160369,2.3485290952244977
